family,scale,LB_5_p,LB_10_p,LB_22_p,ARCH_5_p,ARCH_10_p,ARCH_22_p,mean_z,std_z,skew_z,kurt_z
HAR,static,0.1581423390619928,5.767617160379474e-14,1.4326475040828216e-28,0.23888133161957864,1.0820156558547125e-12,1.5199545118187956e-11,0.00035364794569226523,0.9866978530290703,-0.7824511527926198,0.8838790411081532
HAR,gas,0.02981813306464472,5.936882654861898e-14,1.0080395691340897e-27,0.024352023616447827,9.843922080607006e-09,1.2720135023151226e-06,0.058859323115687937,0.9175894605851945,-0.7365923152891394,0.5089158765768937
HAR,egarch,0.003879093897817945,8.086485940466245e-16,1.0613619300682653e-31,0.0004713175734164594,1.2230976235391096e-08,2.9798376925687215e-07,0.03004455056094136,1.0199932920272623,-0.6470240662768072,0.3150826518159575
HAR-Q,static,0.18050688261286554,9.615882435688677e-14,2.5630005280752023e-28,0.23230954041654253,1.7408210271478728e-12,1.534842344804659e-11,0.0005283254905146795,0.9912339032882835,-0.7903984996338701,0.9260736619957717
HAR-Q,gas,0.0442928153915828,4.367340386722681e-13,9.568182340002325e-28,0.0006608542194398003,8.554802037111596e-08,4.72553045462073e-06,0.0808284848552356,0.9283543257890083,-0.645875922405899,0.2792183058978641
HAR-Q,egarch,0.26759205344364995,9.450113658220469e-12,5.4022636257697595e-25,7.81183217958817e-05,5.631969150764525e-13,5.037545036745282e-10,-0.11491343238405122,1.0382768127854072,-0.6666389153323508,0.2909418771043062
HAR-J,static,0.14566005687518627,4.236500836629325e-14,7.426450603322397e-29,0.25662405584315273,8.671749927898754e-13,1.4379119859121297e-11,0.00104782713877561,0.9929879448503451,-0.7877362307600472,0.8992208004657867
HAR-J,gas,0.19543429091747577,8.811021988400107e-14,1.8599743699074721e-28,0.3135013869492295,2.1432349291928323e-11,2.674484921119532e-10,0.05169367953889411,0.7830787115500649,-0.7885904891612712,0.9049568807865018
HAR-J,egarch,0.002205565858949044,4.294623521545231e-16,1.101500809509678e-31,0.07283222214072867,2.19442656127013e-10,5.893075405576596e-08,0.02338530694358443,0.9602018870410182,-0.7661166038267115,0.5409899721092235
HAR-CJ,static,0.2096274847843689,5.886810242059845e-14,1.5403560589837e-28,0.27287312156718074,2.836808295543522e-13,1.0466956613257758e-11,-0.0004981478009705969,0.9869074886593286,-0.800200525158598,0.9407577601497041
HAR-CJ,gas,0.021926978297737064,6.473839818105937e-16,1.4623376860819788e-32,0.015176987238955969,1.0246548673523083e-09,3.931974803562987e-08,0.060316457832585345,0.8973475319623541,-0.8010422912211673,0.8010560958327009
HAR-CJ,egarch,0.3208806758398319,4.82840950057449e-13,2.494848709944491e-27,0.0020963160385469664,8.892281070236153e-11,1.7886048023088964e-08,0.02944915103094068,0.9852328803390432,-0.7513652607173861,0.6703110008896807
HAR-CJ-Q,static,0.25721564226430127,1.2410600539979493e-13,3.2963229962119423e-28,0.2497787873696555,4.898073637592485e-13,8.88463658853507e-12,-0.0012901378033765539,0.9863835254192523,-0.8151660874642586,1.014544383650894
HAR-CJ-Q,gas,0.03652826467947951,3.110636125955959e-14,8.980284223020848e-29,0.027099793346981343,3.087112145347973e-09,2.8243602464926866e-07,0.05770573605249134,0.942192185085613,-0.7453337999794509,0.5029454367107551
HAR-CJ-Q,egarch,0.03436723653821527,3.273652474742057e-14,1.327204632689799e-28,0.0006813455288266432,5.2151270807209596e-08,4.538986520408951e-07,0.025013201997904116,0.9666690016197326,-0.6328875948587592,0.28233176019880935
HAR-RS,static,0.104510767394339,7.0507583485658285e-15,2.498415576511071e-31,0.21494577417779298,1.9053949289119417e-12,1.141827054545936e-11,0.0031683694313451517,0.9888903620713859,-0.8450427111477636,0.9257226847616193
HAR-RS,gas,0.05268411991053986,3.681801141537823e-14,8.050801849378559e-31,0.00020877700720730818,1.7426857078719214e-10,3.7871165700514186e-08,0.015945362055152953,0.7519786217112299,-0.7179701522214051,0.3440381335669591
HAR-RS,egarch,0.07550235082184041,1.5421869829896724e-13,5.410235224427513e-30,0.007352210656823819,1.7764539703601695e-12,7.116082648215261e-09,-0.05079472059682533,1.0024803701723952,-0.7194896449570155,0.3535826781551519
HAR-RS-Q,static,0.12377255694361873,1.2910561260110029e-14,7.710294668132147e-31,0.21767324640366267,1.7299906581899172e-12,1.041009785260817e-11,0.003292772447213277,0.9907427904930537,-0.8442703672375614,0.9613136338764878
HAR-RS-Q,gas,0.09969682989778132,2.160519776724225e-14,2.5123127470461925e-30,0.32986250636216197,8.658791160385825e-13,6.109486217398695e-12,-0.003635318753391259,0.9905070055661914,-0.8312464506597771,0.9346079734719388
HAR-RS-Q,egarch,0.05955821254974118,2.103938472471413e-14,6.553102359266667e-31,0.004480600524387353,5.920359795969308e-10,2.6113859136650227e-08,0.03052996806695279,0.9350538323839067,-0.7736515702990081,0.6423833411055222
