estimator,freq_min,mean,median,std,n_days
rv,1,0.0014737203450082607,0.0008251265297513605,0.0031934229598244894,1916
tsrv,1,0.0011468800466070076,0.0006123472809418495,0.0023059749851957754,1916
rk,1,0.0010300358556381598,0.0005517128856836332,0.0019940896007952557,1916
rv,2,0.0013220961004178132,0.0007127630659741103,0.0026715903248063924,1916
tsrv,2,0.0010855038600055605,0.0005945311324780434,0.0020608287871028514,1916
rk,2,0.0010053021854198314,0.0005230856918620817,0.0018619774951534158,1916
rv,5,0.0012317764709236698,0.0006478870378688698,0.002802539009734158,1916
tsrv,5,0.001035817223028807,0.0005621454333811261,0.0020160072316558354,1916
rk,5,0.0009787894891873981,0.0004989747294297226,0.0017368635268758756,1916
rv,10,0.0011154318070291517,0.000621323065318501,0.002088695444689855,1916
tsrv,10,0.0009721233755960805,0.0005151597966267748,0.0018863412230728273,1916
rk,10,0.0009616717240363808,0.00046878500315995054,0.0017079042085342444,1916
rv,15,0.001115867891361692,0.0005987646827874424,0.00218979390127285,1916
tsrv,15,0.000932227434881978,0.00048004626225094126,0.0017262902679241914,1916
rk,15,0.0009493650373974207,0.0004513961554561413,0.0016755413568320353,1916
rv,30,0.0010386220674516173,0.0005625053524934351,0.0018937271528574162,1916
tsrv,30,0.0008455654039208815,0.00041126530673047095,0.0015148308394586528,1916
rk,30,0.0009225932647554049,0.00039495215920712563,0.0016249051100367964,1916
rv,60,0.0009904094350309583,0.0005231240498595306,0.001803483091321968,1916
tsrv,60,,,,0
rk,60,,,,0
