family,n,k,loglik,aic,bic,sigma,nu,lam,converged,fit_s
HAR,2312,7,-3231.4533586575562,6476.9067173151125,6517.127794923658,0.9873278721552359,10.44968063783921,-0.018101192122961112,True,0.048670053482055664
HAR-CJ,2312,10,-3226.5422313270033,6473.0844626540065,6530.543144951929,0.9857326542866895,10.21474455963944,-0.023654185155521285,True,0.05982518196105957
HAR-RS,2312,8,-3212.052466469666,6440.104932939332,6486.07187877767,0.9800433106156289,9.912956877198544,-0.006763331741405954,True,0.054464101791381836
HAR-Q,2312,8,-3229.2632313004624,6474.526462600925,6520.493408439263,0.986569926370168,10.34968229388138,-0.019326738678671206,True,0.2380979061126709
HAR-RS-Q,2312,10,-3204.202028741359,6428.404057482718,6485.86273978064,0.9854152671456972,8.054614749536643,0.0009839671612645816,True,0.1774158477783203
HAR-WE,2312,8,-3207.4115228688624,6430.823045737725,6476.789991576063,0.974764065007695,12.098499814773952,-0.0007639456305487846,True,0.12952089309692383
HAR-RS-WE,2312,9,-3183.7197086864394,6385.439417372879,6437.1522314410095,0.9654716145052382,11.545176272969343,0.010018587225908308,True,0.18348097801208496
HAR-RS-DOW,2312,14,-2908.420263458706,5844.840526917412,5925.282682134503,0.865591554526032,14.734666945493816,0.21513861548286548,True,0.36463093757629395
HAR-RS-X,2312,12,-3170.0498540156577,6364.0997080313155,6433.050126788823,0.9596061351311814,11.814756907111112,0.02966229804638843,True,0.7691199779510498
HAR-RS-Q-WE-X,2312,14,-3153.625311152997,6335.250622305994,6415.692777523085,0.9527703732009916,12.064307599771412,0.04117726083134553,True,0.9553890228271484
