strategy,requires_har,verdict,full_sharpe,full_annret,full_mdd,early_sharpe,early_annret,early_mdd,late_sharpe,late_annret,late_mdd,eth_sharpe,eth_annret,eth_mdd
B&H,False,FRAGILE,0.5208919489374743,0.2203006328608179,-0.5485732492903552,1.4944130535479134,0.6362740182937177,-0.27137073024405245,-0.22987193525147953,-0.09471919394023631,-0.5416883328391235,0.20752148871943804,0.11889906562326913,-0.6031616271077139
Trend MA50,False,CONDITIONAL,0.8987251901975991,0.2742639075158926,-0.2711219798104674,1.413888944238278,0.49135638320656483,-0.2496177011532332,0.5894062834422926,0.14661777143908816,-0.27112197981046643,0.25271959291386414,0.10247458273896681,-0.45232291139783165
Bollinger MR,False,FRAGILE,0.027745999545480692,0.006554234321749952,-0.3830478064750844,1.2360255895964314,0.22905552685230135,-0.138898587421385,-0.6197472723390302,-0.15797797448338435,-0.38304780647508424,0.04144781228379087,0.013331279520184314,-0.4335904990542383
Bollinger Breakout,False,CONDITIONAL,0.7053207757647552,0.16760411676292364,-0.28712899479404247,0.8249409030262111,0.2341177217804411,-0.28712899479404247,0.5817283368408566,0.10493667209845614,-0.23546370490283874,0.08136563387289968,0.024603377168200824,-0.34359375067825776
MACD,False,CONDITIONAL,0.685511096992221,0.1948025816700325,-0.27204498367633956,1.0108814210093175,0.30005735212739193,-0.27204498367633956,0.5158071517460135,0.13713542890427632,-0.2519816069506808,0.0975370845014271,0.040056746254368614,-0.48152111334630654
ATR-stop + Trend MA50,False,ROBUST,1.1374560327186802,0.33598848072196463,-0.276241200744265,1.8770113695908799,0.6180206452106163,-0.14735679126323736,0.47551063510438313,0.12103405480950702,-0.2762412007442656,0.5182586001243235,0.21233051715522167,-0.45615427968998257
Donchian,False,ROBUST,0.8935392963596581,0.2256316550081463,-0.2472823176218798,1.115441380511749,0.3086739731330339,-0.23424736026355578,0.7149855571720052,0.15961472355466455,-0.2472823176218791,0.3481023041963199,0.12404800593668863,-0.40162052628923123
RSI-Bounce,False,CONDITIONAL,0.40865982513635146,0.054052398840214844,-0.14474524954772922,0.18377290173518068,0.025596685299656752,-0.14474524954772922,0.6667816123478935,0.08338469877571919,-0.09907115632893333,0.45714454466081605,0.09075498621792155,-0.18148264827799301
HAR vol-regime + Trend,True,ROBUST,0.69089615563929,0.11947095420258735,-0.23810208520106882,1.2274146908319554,0.22373305207376304,-0.23810208520106882,0.7610187579267994,0.15168062685200834,-0.15358864245703338,,,
HAR vol-target + Trend,True,ROBUST,0.9429112150590592,0.26391160487625376,-0.25539357052472433,1.5084522977719168,0.4766182807326882,-0.2496177011532332,0.5789443636655798,0.133933047321535,-0.2553935705247242,,,
Trend MA50 + BB pullback,False,CONDITIONAL,0.8176917871699775,0.25093707087860184,-0.3237387033339068,1.3042282707594053,0.45518640436433655,-0.2496177011532332,0.6354027062233705,0.15824281501267978,-0.26151602278327923,0.2876342963691908,0.11685101684963661,-0.4523229113978319
